CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,ADDR_PCT_CD,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,BORO_NM,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,JURIS_DESC,JURISDICTION_CODE,PARKS_NM,HADEVELOPT,HOUSING_PSA,X_COORD_CD,Y_COORD_CD,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,TRANSIT_DISTRICT,Latitude,Longitude,Lat_Lon,PATROL_BORO,STATION_NAME,VIC_AGE_GROUP,VIC_RACE,VIC_SEX
656903780,12/01/2019,00:50:00,,,62.0,12/01/2019,105,ROBBERY,380.0,"ROBBERY,CAR JACKING",COMPLETED,FELONY,BROOKLYN,,STREET,N.Y. POLICE DEPT,0.0,,,,983915.0,160199.0,UNKNOWN,UNKNOWN,U,,40.60639377800004,-74.00120790799998,"(40.60639377800004, -74.00120790799998)",PATROL BORO BKLYN SOUTH,,25-44,ASIAN / PACIFIC ISLANDER,M
575481461,11/30/2019,15:00:00,12/01/2019,09:00:00,40.0,12/01/2019,341,PETIT LARCENY,321.0,"LARCENY,PETIT FROM AUTO",ATTEMPTED,MISDEMEANOR,BRONX,FRONT OF,STREET,N.Y. POLICE DEPT,0.0,,,,1005728.0,233375.0,,,,,40.80721846200005,-73.92241727499999,"(40.807218462000044, -73.92241727499999)",PATROL BORO BRONX,,45-64,BLACK,F
918261954,11/30/2019,23:01:00,,,46.0,11/30/2019,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,,OUTSIDE,,N.Y. POLICE DEPT,,,,,1005694.0,247184.0,18-24,BLACK,M,,40.84512030900004,-73.92249595899995,"(40.84512030900004, -73.92249595899995)",,,25-44,BLACK,M
897529487,11/30/2019,14:00:00,,,52.0,11/30/2019,105,ROBBERY,388.0,"ROBBERY,RESIDENTIAL COMMON AREA",COMPLETED,FELONY,BRONX,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0.0,,,,1018899.0,259204.0,18-24,BLACK,M,,40.87806961800004,-73.87470676699996,"(40.87806961800004, -73.87470676699996)",PATROL BORO BRONX,,18-24,BLACK,M
583120306,11/29/2019,22:56:00,,,43.0,11/29/2019,352,CRIMINAL TRESPASS,203.0,"TRESPASS 3, CRIMINAL",COMPLETED,MISDEMEANOR,BRONX,INSIDE,PUBLIC BUILDING,N.Y. POLICE DEPT,0.0,,,,1020183.0,239283.0,25-44,BLACK,F,,40.82338729100008,-73.87017045,"(40.82338729100008, -73.87017045)",PATROL BORO BRONX,,UNKNOWN,UNKNOWN,E
599591440,11/29/2019,21:50:00,,,14.0,11/29/2019,341,PETIT LARCENY,338.0,"LARCENY,PETIT FROM BUILDING,UN",COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,FOOD SUPERMARKET,N.Y. POLICE DEPT,0.0,,,,988584.0,214165.0,,,,,40.75451713300004,-73.98435829099996,"(40.75451713300004, -73.98435829099996)",PATROL BORO MAN SOUTH,,25-44,WHITE,F
390973644,11/29/2019,14:20:00,,,1.0,11/29/2019,358,OFFENSES INVOLVING FRAUD,705.0,"FORGERY,ETC.-MISD.",COMPLETED,MISDEMEANOR,MANHATTAN,,STREET,N.Y. POLICE DEPT,0.0,,,,983728.0,201372.0,45-64,BLACK,M,,40.719404551000025,-74.00188456299998,"(40.719404551000025, -74.00188456299998)",PATROL BORO MAN SOUTH,,UNKNOWN,UNKNOWN,D
490015480,11/28/2019,19:45:00,11/29/2019,10:00:00,42.0,11/29/2019,341,PETIT LARCENY,349.0,"LARCENY,PETIT OF LICENSE PLATE",COMPLETED,MISDEMEANOR,BRONX,,STREET,N.Y. POLICE DEPT,0.0,,,,1012493.0,241147.0,,,,,40.82853137300003,-73.89794763099997,"(40.82853137300003, -73.89794763099997)",PATROL BORO BRONX,,25-44,BLACK,M
193932996,11/18/2019,21:30:00,,,121.0,11/29/2019,104,RAPE,153.0,RAPE 3,COMPLETED,FELONY,STATEN ISLAND,REAR OF,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0.0,,,,942428.0,166536.0,UNKNOWN,BLACK,M,,40.62368882200008,-74.15065813299998,"(40.62368882200008, -74.15065813299998)",PATROL BORO STATEN ISLAND,,25-44,BLACK,F
161833964,11/28/2019,11:25:00,11/28/2019,11:58:00,63.0,11/28/2019,344,ASSAULT 3 & RELATED OFFENSES,113.0,"MENACING,UNCLASSIFIED",COMPLETED,MISDEMEANOR,BROOKLYN,FRONT OF,STREET,N.Y. POLICE DEPT,0.0,,,,999847.0,165533.0,,,,,40.621020789000056,-73.94381815299994,"(40.621020789000056, -73.94381815299994)",PATROL BORO BKLYN SOUTH,,25-44,WHITE,M
