CMPLNT_NUM,ADDR_PCT_CD,KY_CD,PD_CD,CRM_ATPT_CPTD_CD,LAW_CAT_CD,BORO_NM,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,Latitude,Longitude,VIC_AGE_GROUP,VIC_RACE,VIC_SEX,CMPLNT_FR_TIMESTAMP,CMPLNT_TO_TIMESTAMP,RPT_TIMESTAMP
727016768,73.0,112,739.0,COMPLETED,FELONY,BROOKLYN,INSIDE,OTHER,,OTHER,OTHER,40.66514600100004,-73.91299436099996,UNKNOWN,OTHER,OTHER,2019-01-08 12:30:00,,2019-03-20 00:00:00
660474863,75.0,101,,COMPLETED,FELONY,,OUTSIDE,,25-44,BLACK,MALE,40.66569908600008,-73.88084420599995,18-24,BLACK,MALE,2019-03-19 17:21:00,,2019-03-19 00:00:00
745434421,121.0,341,321.0,COMPLETED,MISDEMEANOR,STATEN ISLAND,FRONT OF,STREET,,OTHER,OTHER,40.62152446500005,-74.14098849899995,25-44,WHITE,MALE,2019-03-19 10:30:00,,2019-03-19 00:00:00
378814634,70.0,344,113.0,COMPLETED,MISDEMEANOR,BROOKLYN,,STREET,,OTHER,OTHER,40.654879667000046,-73.96190341499994,45-64,OTHER,FEMALE,2019-03-19 07:54:00,,2019-03-19 00:00:00
925238970,40.0,101,,COMPLETED,FELONY,,INSIDE,,18-24,WHITE HISPANIC,MALE,40.80653810100006,-73.918910596,UNKNOWN,WHITE HISPANIC,MALE,2019-03-18 22:20:00,,2019-03-18 00:00:00
942834964,49.0,116,168.0,COMPLETED,FELONY,BRONX,INSIDE,RESIDENCE - APT. HOUSE,,OTHER,OTHER,40.85616295700004,-73.84439712399995,<18,WHITE HISPANIC,MALE,2019-03-15 15:30:00,,2019-03-18 00:00:00
603646377,90.0,118,793.0,COMPLETED,FELONY,BROOKLYN,,STREET,,OTHER,OTHER,40.70589718700006,-73.942967561,UNKNOWN,OTHER,OTHER,2019-03-17 03:50:00,2019-03-17 03:57:00,2019-03-17 00:00:00
230360327,44.0,344,101.0,COMPLETED,MISDEMEANOR,BRONX,,STREET,25-44,BLACK,MALE,40.82816765500007,-73.91296187199998,25-44,BLACK,FEMALE,2019-03-16 06:30:00,,2019-03-17 00:00:00
688524238,19.0,341,343.0,COMPLETED,MISDEMEANOR,MANHATTAN,,OTHER,,OTHER,OTHER,40.78018257700006,-73.95931139399994,25-44,WHITE,FEMALE,2019-03-15 20:00:00,2019-03-15 21:30:00,2019-03-17 00:00:00
854945174,42.0,578,638.0,COMPLETED,VIOLATION,BRONX,INSIDE,RESIDENCE - APT. HOUSE,,OTHER,OTHER,40.832986738000045,-73.89873218899999,<18,OTHER,FEMALE,2019-03-16 00:36:00,,2019-03-16 00:00:00
886849427,47.0,578,638.0,COMPLETED,VIOLATION,BRONX,,STREET,,OTHER,OTHER,40.89481948400004,-73.86182751599993,25-44,BLACK,FEMALE,2019-03-09 10:30:00,,2019-03-16 00:00:00
143249373,114.0,578,638.0,COMPLETED,VIOLATION,QUEENS,,BUS (OTHER),<18,OTHER,MALE,40.77226932600007,-73.92590227999993,18-24,BLACK,MALE,2019-03-14 15:15:00,,2019-03-15 00:00:00
269172173,50.0,341,357.0,COMPLETED,MISDEMEANOR,BRONX,,STREET,,OTHER,OTHER,40.87661729600006,-73.89958059599996,45-64,WHITE,MALE,2019-03-11 23:00:00,2019-03-12 10:00:00,2019-03-15 00:00:00
389861684,47.0,352,203.0,COMPLETED,MISDEMEANOR,BRONX,FRONT OF,OTHER,45-64,BLACK,MALE,40.88733281800006,-73.84725001299995,UNKNOWN,OTHER,OTHER,2019-03-14 10:10:00,,2019-03-14 00:00:00
390177084,71.0,341,349.0,COMPLETED,MISDEMEANOR,BROOKLYN,FRONT OF,STREET,,OTHER,OTHER,40.655718343000046,-73.94525938899994,45-64,BLACK,MALE,2018-07-20 13:00:00,,2019-03-14 00:00:00
847767978,43.0,344,101.0,COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE-HOUSE,25-44,BLACK,MALE,40.82912466000005,-73.86381763999998,25-44,BLACK,FEMALE,2019-03-13 11:00:00,,2019-03-13 00:00:00
779879020,33.0,106,109.0,COMPLETED,FELONY,MANHATTAN,FRONT OF,STREET,,OTHER,OTHER,40.838997766000034,-73.93755896999993,UNKNOWN,OTHER,OTHER,2019-03-12 17:10:00,,2019-03-12 00:00:00
619837548,47.0,578,638.0,COMPLETED,VIOLATION,BRONX,INSIDE,RESIDENCE - APT. HOUSE,25-44,BLACK,MALE,40.89235092600006,-73.85643985999997,18-24,BLACK,FEMALE,2019-03-12 16:50:00,,2019-03-12 00:00:00
199748088,44.0,361,661.0,COMPLETED,MISDEMEANOR,BRONX,,STREET,,OTHER,OTHER,40.833924833000026,-73.92700807399994,UNKNOWN,OTHER,FEMALE,2019-03-12 09:50:00,,2019-03-12 00:00:00
111964687,109.0,341,301.0,COMPLETED,MISDEMEANOR,QUEENS,,STREET,,OTHER,OTHER,40.79437653800005,-73.84643038999997,18-24,WHITE,FEMALE,2019-03-06 16:00:00,,2019-03-12 00:00:00
887316947,84.0,341,333.0,COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,CLOTHING/BOUTIQUE,45-64,WHITE,FEMALE,40.69128919500002,-73.98690812599993,UNKNOWN,OTHER,OTHER,2019-03-11 17:21:00,,2019-03-11 00:00:00
